"Code";"Language";1;2;3;4;5;6;7;8;9;10;11;12
"en";"English";"Jan";"Feb";"Mar";"Apr";"May";"June";"July";"Aug";"Sept";"Oct";"Nov";"Dec"
"be";"Belorusian";"studz";"liut";"sak";"kras";"trav";"cherv";"lip";"zhniven'";"veras";"kastr";"list";"snezh"
"bs";"Bosnian";"jan";"feb";"mart";"april";"maj";"juni";"juli";"aug";"sept";"okt";"nov";"dec"
"bg";"Bulgarian";"ian";"fevr";"mart";"april";"mai";"iuni";"iuli";"avg";"sept";"okt";"noem";"dek"
"hr";"Croatian";"sijec";"velj";"ozuj";"trav";"svib";"lip";"srp";"kol";"ruj";"list";"stud";"pros"
"cs";"Czech";"led";"ún";"brez";"dub";"kvet";"cerv";"cerven";"srp";"zár";"ríj";"list";"pros"
"da";"Danish";"jan";"febr";"marts";"april";"maj";"juni";"juli";"aug";"sept";"okt";"nov";"dec"
"nl";"Dutch";"jan";"feb";"maart";"apr";"mei";"juni";"juli";"aug";"sept";"oct";"nov";"dec"
"et";"Estonian";"jaan";"veebr";"märts";"apr";"mai";"juuni";"juuli";"aug";"sept";"okt";"nov";"dets"
"fr";"French";"janv";"févr";"mars";"avril";"mai";"juin";"juil";"août";"sept";"oct";"nov";"déc"
"de";"German";"Jan";"Feb";"Mrz";"Apr";"Mai";"Jun";"Jul";"Aug";"Sep";"Okt";"Nov";"Dez"
"el";"Greek";"Ian";"Phevr";"Mart";"Apr";"Maios";"Ioun";"Ioul";"Aug";"Sept";"Okt";"Noem";"Dek"
"hu";"Hungarian";"jan";"feb";"márc";"ápr";"máj";"jun";"jul";"aug";"szept";"okt";"nov";"dec"
"id";"Indonesian";"Jan";"Peb";"Mrt";"Apr";"Mei";"Juni";"Juli";"Ag";"Sept";"Okt";"Nop";"Des"
"it";"Italian";"genn";"febbr";"mar";"apr";"magg";"giugno";"luglio";"ag";"sett";"ott";"nov";"dic"
"la";"Latin";"Ian";"Febr";"Mart";"Apr";"Mai";"Iun";"Iul";"Aug";"Sept";"Oct";"Nov";"Dec"
"lv";"Latvian";"jan";"feb";"marts";"apr";"maijs";"junijs";"julijs";"aug";"sept";"okt";"nov";"dec"
"lt";"Lithuanian";"Saus";"vas";"kovas";"bal";"geg";"birz";"liepa";"rugp";"rugs";"spalis";"lapkr";"gr"
"ms";"Malaysian";"Jan";"Feb";"Mac";"Apr";"Mei";"Jun";"Julai";"Og";"Sept";"Okt";"Nov";"Dis"
"nb";"Norwegian";"jan";"febr";"mars";"april";"mai";"juni";"juli";"aug";"sept";"okt";"nov";"des"
"pl";"Polish";"stycz";"luty";"mar";"kwiec";"maj";"czerw";"lip";"sierp";"wrzes";"pazdz";"listop";"grudz"
"pt";"Portuguese";"jan";"fev";"março";"abril";"maio";"junho";"julho";"agosto";"set";"out";"nov";"dez"
"ro";"Romanian";"Ian";"Feb";"Mar";"Apr";"Mai";"Iunie";"Iulie";"Aug";"Sept";"Oct";"Noiem";"Dec"
"ru";"Russian";"ianv";"fevr";"mart";"apr";"mai";"iiun'";"iiul'";"avg";"sent";"okt";"noiabr'";"dek"
"sr";"Serbian";"jan";"febr";"mart";"april";"maj";"juni";"juli";"avg";"sept";"okt";"nov";"dec"
"sk";"Slovak";"l'ad";"ún";"brez";"dub";"kvet";"cerv";"cerven";"srp";"zári";"ruj";"list";"pros"
"sl";"Slovenian";"jan";"feb";"mar";"apr";"maj";"jun";"jul";"avg";"sept";"okt";"nov";"dec"
"es";"Spanish";"enero";"feb";"marzo";"abr";"mayo";"jun";"jul";"agosto";"sept";"oct";"nov";"dic"
"sv";"Swedish";"jan";"febr";"mars";"april";"maj";"juni";"juli";"aug";"sept";"okt";"nov";"dec"
"tr";"Turkish";"Ocak";"Subat";"mart";"Nisan";"Mayis";"Haziran";"Temmuz";"Agustos";"Eylul";"Ekim";"Kasim";"Aralik"
"uk";"Ukranian";"sich";"liut";"ber";"kvit";"trav";"cher";"lyp";"serp";"ver";"zhovt";"lyst";"hrud"
"cy";"Welsh";"Ion";"Chwef";"Maw";"Ebr";"Mai";"Meh";"Gorff";"Awst";"Medi";"Hyd";"Tach";"Rhag"
